วันที่,เลขที่ใบเสร็จ,ประเภทใบเสร็จ,ประเภท,รหัสSKUสินค้า,รายการ,ตัวแปร,ปรับเปลี่ยนการใช้งาน,จำนวน,ยอดขายรวม,ส่วนลด,ยอดขายสุทธิ,ต้นทุนของสินค้า,กำไรรวม,ภาษี,ระบบขายหน้าร้าน,ร้านค้า,ชื่อแคชเชียร์,ชื่อลูกค้า,รายชื่อติดต่อลูกค้า,ความคิดเห็น,สถานะ
19/10/20 15:00,1-7939,ลดราคา,ผักผล,10149,หอมใหญ่,,,0.380,45.60,0.00,45.60,0.00,45.60,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:58,1-7938,ลดราคา,ผักผล,10115,ฟักทอง,,,0.970,58.20,0.00,58.20,0.00,58.20,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:58,1-7938,ลดราคา,ผลไม้,10157,แคนตาลูป,,,1.300,91.00,0.00,91.00,0.00,91.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:56,1-7937,ลดราคา,ผักใบ,10082,ตะไคร้,,,0.080,4.80,0.00,4.80,0.00,4.80,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:56,1-7937,ลดราคา,ผักใบ,10077,ชะพลู,,,0.100,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:56,1-7937,ลดราคา,ผักใบ,10065,กะเพรา,,,1.000,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:55,1-7936,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.200,24.00,5.26,18.74,0.00,18.74,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:55,1-7936,ลดราคา,ผักผล,10112,พริกหนุ่ม,,,0.100,24.00,5.25,18.75,0.00,18.75,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:55,1-7936,ลดราคา,ผักใบ,10082,ตะไคร้,,,0.113,6.78,1.49,5.29,0.00,5.29,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:50,1-7935,ลดราคา,ผักผล,10008,กระเทียม,,,0.500,110.00,50.00,60.00,0.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:48,1-7934,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.300,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
